customer_id,first_name,last_name,email,city,state,signup_date,cohort_month,acquisition_channel
1,Lina,Sharma,lina.sharma1@lumen.example,Seattle,GA,2025-07-17,2025-06,email
2,Maya,Gupta,maya.gupta2@lumen.example,Portland,TX,2025-09-14,2025-08,paid_search
3,Tobias,Vega,tobias.vega3@lumen.example,Raleigh,WA,2025-07-04,2025-06,referral
4,Maya,Pillai,maya.pillai4@lumen.example,Dallas,TX,2025-02-19,2025-01,referral
5,Sofia,Rao,sofia.rao5@lumen.example,Portland,NC,2025-04-14,2025-03,referral
6,Aarav,Kaur,aarav.kaur6@lumen.example,Kansas,MO,2025-08-18,2025-07,referral
7,Reya,Reddy,reya.reddy7@lumen.example,Chicago,CO,2026-02-06,2026-01,paid_search
8,Elena,Das,elena.das8@lumen.example,Kansas,MA,2025-05-30,2025-05,direct
9,Sana,Reddy,sana.reddy9@lumen.example,Denver,TX,2025-06-06,2025-05,referral
10,Ravi,Vega,ravi.vega10@lumen.example,Raleigh,TX,2025-12-12,2025-11,organic
11,Tobias,Joshi,tobias.joshi11@lumen.example,Denver,AZ,2025-04-12,2025-03,organic
12,Noah,Sharma,noah.sharma12@lumen.example,Dallas,TX,2026-03-07,2026-02,paid_search
13,Arjun,Kim,arjun.kim13@lumen.example,Dallas,WA,2025-02-23,2025-01,social
14,Jules,Verma,jules.verma14@lumen.example,Nashville,WA,2024-11-14,2024-10,direct
15,Ravi,Mehta,ravi.mehta15@lumen.example,Nashville,OR,2025-08-23,2025-07,paid_search
16,Sana,Sen,sana.sen16@lumen.example,Boston,FL,2025-11-23,2025-10,paid_search
17,Ivan,Park,ivan.park17@lumen.example,Minneapolis,CO,2025-01-07,2024-12,organic
18,Omar,Joshi,omar.joshi18@lumen.example,Austin,TX,2025-10-06,2025-09,email
19,Elena,Verma,elena.verma19@lumen.example,Atlanta,TX,2026-02-12,2026-01,organic
20,Theo,Kim,theo.kim20@lumen.example,Miami,IL,2025-12-20,2025-11,paid_search
21,Amara,Patel,amara.patel21@lumen.example,Denver,AZ,2025-08-15,2025-07,organic
22,Leo,Reddy,leo.reddy22@lumen.example,Phoenix,OR,2025-10-23,2025-09,organic
23,Lina,Pillai,lina.pillai23@lumen.example,Boston,TN,2025-11-13,2025-10,direct
